price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,sector_median_price,sector_number
2.25,25000.0,900.0,100,6,3,3,3.0,2,0,0,0,0,0,0,54,1.7,51
11.0,26667.0,4125.0,500,5,6,3,3.0,1,1,1,0,0,0,0,58,1.45,33
1.41,10307.0,1368.0,1368,2,2,3,0.0,2,0,0,0,0,1,0,49,1.7,102
1.65,9091.0,1815.0,1815,3,3,0,12.0,5,0,0,0,0,0,0,0,1.3,79
0.98,8166.0,1200.0,1445,2,2,3,5.0,2,0,0,0,0,0,1,96,1.19,83
2.2,12500.0,1760.0,1760,3,4,3,3.0,5,0,0,0,0,0,0,0,4.26,14
1.5,7776.0,1929.0,1929,3,3,1,15.0,2,0,0,0,0,0,0,159,1.27,86
4.35,13501.0,3222.0,358,4,4,3,2.0,2,1,1,1,1,0,1,138,1.25,103
1.3,8283.0,1569.0,1568,3,3,1,12.0,2,0,0,0,1,0,0,86,1.535,69
1.1,6104.0,1802.0,1802,3,4,3,3.0,3,0,1,0,0,0,0,26,1.0,71
1.59,10338.0,1538.0,1799,3,3,3,5.0,2,0,0,0,0,1,2,167,2.4,82
1.65,9041.0,1825.0,1825,3,3,3,12.0,1,0,0,0,0,0,0,60,1.38,88
2.28,10841.0,2103.0,2103,3,3,3,14.0,2,0,1,0,0,0,2,49,2.205,81
1.6,6768.0,2364.0,2364,4,4,3,10.0,2,0,1,0,1,0,0,88,1.25,90
1.21,6926.0,1747.0,1747,3,3,3,29.0,2,0,0,0,0,1,0,95,1.25,90
1.25,10416.0,1200.0,1702,3,3,3,18.0,3,0,1,0,0,0,0,100,1.25,90
0.98,6932.0,1414.0,1415,2,2,3,11.0,3,0,0,0,0,0,0,83,1.36,2
0.93,6079.0,1530.0,1283,2,3,3,10.0,2,0,0,0,0,0,0,81,1.665,108
2.24,14460.0,1549.0,1549,3,3,2,3.0,1,0,0,0,0,1,0,61,2.025,61
1.55,7750.0,2000.0,2000,3,3,3,5.0,4,0,1,0,0,0,1,52,1.7,56
0.78,6023.0,1295.0,1295,2,2,3,17.0,2,0,0,0,0,0,0,24,1.3,79
1.93,12222.0,1579.0,1579,3,3,2,8.0,0,0,0,0,0,0,0,71,2.45,113
2.6,8813.0,2950.0,3150,4,4,3,16.0,2,0,1,0,0,0,1,150,1.58,104
7.46,10260.0,7271.0,6350,4,4,3,2.0,2,0,1,0,1,0,1,62,4.0,112
4.8,19200.0,2500.0,2500,4,6,3,10.0,1,0,1,0,1,0,2,49,3.35,22
0.97,9238.0,1050.0,1050,2,2,3,10.0,2,0,1,0,0,0,0,165,1.665,108
0.97,10601.0,915.0,915,2,2,2,12.0,2,0,0,0,0,0,0,100,1.7,102
1.7,8588.0,1980.0,1630,3,4,2,1.0,0,0,0,0,0,0,0,63,0.82,92
6.75,27778.0,2430.0,270,3,3,3,2.0,3,0,0,0,0,0,0,27,13.0,26
1.2,6217.0,1930.0,1930,3,3,3,8.0,3,0,1,0,1,0,0,59,1.25,90
